# x0,tempo, beats, chroma_stft, rmse,spectral_centroid, spectral_bandwidth, rolloff,zero_crossing_rate, mfcc1, mfcc2, mfcc3, mfcc4, mfcc5, mfcc6, mfcc7, mfcc8, mfcc9, mfcc10, mfcc11, mfcc12, mfcc13, mfcc14, mfcc15, mfcc16, mfcc17, mfcc18, mfcc19, mfcc20, y
1.822273293984602517e-04,1.883490287454397602e-02,9.658048458118392854e-03,5.677964373450433417e-05,2.256194458173086298e-05,4.054321482340133564e-01,4.144414214910266958e-01,8.140880786029939253e-01,1.994413031206383413e-05,-1.791719104323312786e-02,1.792332114877184454e-02,-3.734159141451939921e-03,3.429179108715779516e-03,-3.820797877100162048e-04,4.853753096636137282e-04,-1.332072047169955342e-03,-6.536363174555952053e-04,-1.455279319179606651e-03,-3.492038924007124330e-04,-8.614772709524140754e-04,1.142703435960455927e-04,-4.722007605225097540e-04,-2.679698766736594569e-04,-5.777790663365934979e-04,1.198374126203210062e-04,-8.776750331276353618e-04,-4.041367717990206163e-04,-6.941002110069255946e-04,4.260282365662465803e-05,1.000000000000000000e+00
1.188906575503148925e-04,1.181583082474959440e-02,5.587860904864799458e-03,5.197696726894807551e-05,2.622633231066320863e-05,4.043498348826830013e-01,3.650291255775840460e-01,8.384465235151863371e-01,1.970472676887078216e-05,-5.665198061999114805e-03,6.603343198359043834e-03,2.280418975369693201e-03,2.910855726572255872e-03,4.802229071349058587e-04,1.835247280833786755e-04,8.283603004075932143e-04,-1.243131721340662787e-04,3.664099765502609523e-04,2.130486660783667216e-04,-3.612911068051474295e-04,2.297123922564555602e-04,-5.562669298002255588e-04,-2.995517969019864083e-04,-1.024451961010785036e-04,-2.718556921080738059e-04,-2.010778470243103366e-04,-3.840787022024599612e-04,3.108702197235080887e-04,2.252209600300189574e-04,0.000000000000000000e+00
1.076222351341303270e-04,1.324257971376994331e-02,6.457334108047820161e-03,4.412296142589185643e-05,2.233463630877315515e-05,3.695518523721887383e-01,3.665188666786980964e-01,8.536875904743551624e-01,1.374709147961102348e-05,-5.267509771353929594e-03,6.741786031814888877e-03,3.684697592466903895e-03,1.325260071885383042e-03,1.782093409456992619e-03,9.274039837924478264e-04,9.432104490526655935e-04,5.636223611320225662e-04,7.310571193130478490e-04,9.756484001148878031e-04,-4.395772979022359432e-04,-8.029074314145381560e-05,-4.079700568937125182e-05,-5.148640792812775427e-05,6.969400675988106689e-05,1.844057945091462521e-04,1.456160114677768926e-04,2.055222227742493533e-04,4.143295598839010787e-04,1.736349354159956774e-04,0.000000000000000000e+00
2.750925636487469811e-04,1.974541350408486398e-02,8.252776909462409757e-03,6.443659332327769326e-05,8.101412790632500754e-06,4.199692553590450572e-01,4.125102718623309128e-01,8.021627725931739228e-01,2.997180855639949889e-05,-8.991808564420655792e-02,3.504440192575876412e-02,-8.416758394839071039e-03,1.030738866001336754e-02,-1.456918446958557376e-03,5.724915971343681395e-03,-4.892917602940901516e-04,-1.266736165595026267e-03,-1.115355281987582972e-03,1.438442943384791138e-03,-1.776818140533515647e-04,7.723606348229599718e-04,1.995019640144334461e-03,1.095044176525600873e-03,-6.572058953094598232e-04,4.101542818318003325e-04,1.605011522763319387e-04,-1.679678819105177986e-04,6.421949398278182283e-04,7.289243978832876669e-04,1.000000000000000000e+00
1.109172396443594327e-04,1.433042070795776703e-02,7.209620576883363045e-03,4.300555292387087943e-05,1.469972996635591024e-05,3.986534712669959069e-01,3.517024118678067635e-01,8.467869997977413021e-01,2.054547093910641422e-05,-5.592607325841914521e-03,6.257254363501363846e-03,1.393423843189137189e-03,1.252204076222827129e-03,-3.036509804915981043e-04,1.513945492395273203e-04,5.035086706189187454e-04,-1.068446534269636286e-04,2.539492420601080188e-04,3.038210511550981326e-04,-2.203659118316247272e-04,2.880938628180087797e-04,-4.456770602764241604e-04,7.604161876766194492e-05,-1.547158316772923948e-04,3.686285195357832316e-04,3.353595588544064626e-04,2.913876842878986365e-04,2.302029170566775201e-04,1.509229179654939586e-04,0.000000000000000000e+00
1.075566920822502987e-04,1.389624058836104806e-02,6.776071601181768260e-03,4.554588188211386890e-05,2.795115746970163628e-05,3.948582895602369414e-01,3.544598871354696645e-01,8.474430156017470628e-01,1.741314429854944884e-05,-9.151392430206754499e-04,5.835044179118284609e-03,2.255246990526265424e-03,1.409646213231863883e-03,1.046030873996439984e-03,6.465944530577310981e-04,1.152836744690510827e-03,6.565076317513685250e-04,7.506776458672813649e-05,5.381581631062817969e-04,-3.712602982575881620e-04,9.368658820108814820e-05,-2.086618352560850134e-04,-2.995345722600036074e-04,-2.877209124860688992e-04,-3.567959028173884229e-04,1.834794585319464444e-04,-1.608449422824905875e-05,5.212676431950232381e-04,3.128832881988914748e-04,0.000000000000000000e+00
1.470344895217047358e-04,2.374592646938664120e-02,1.102758671412785475e-02,4.077761066494374167e-05,2.532486392454600039e-05,3.880691031438803784e-01,4.048461783610916576e-01,8.271473214569607935e-01,1.573281751898785702e-05,-2.145398573081284260e-02,9.198638708670195743e-03,-3.397655480794129195e-03,-2.759611021574728904e-03,-2.170925581694298397e-03,-4.179388672536789306e-03,4.642389588187585030e-04,-3.668148430125005473e-03,-2.003800904650068857e-03,-6.785336389272447061e-04,-3.585759360168546458e-03,-2.323913511516996662e-03,-2.568019292090701830e-03,-1.720252734791059617e-03,-1.214885896696840011e-03,-2.034977430149394716e-03,-1.455354957154820529e-03,-1.760840644895975658e-03,-7.392191960662660311e-04,-4.263523609322311648e-04,0.000000000000000000e+00
1.664609638038568214e-04,1.792218872985860967e-02,8.822431081604411099e-03,8.271449279253554579e-05,3.589663334538465848e-05,3.875059312729343119e-01,4.189485978090178309e-01,8.207571753478337673e-01,1.589692591673216998e-05,-5.024690564175322838e-03,1.472320312623962534e-02,-1.096155198392053136e-03,5.458390032031445668e-03,1.415878755352168372e-03,1.396444004928627325e-03,3.397859945325472451e-04,1.142535192369086017e-03,5.955519806404396647e-04,4.530277622591906070e-04,2.154683802348335189e-04,5.477183862075047684e-04,2.608097218737435909e-04,3.955975238332676432e-04,4.204207085518768560e-04,1.828064423771035474e-04,-2.624880798340400523e-04,-4.389354732214176567e-05,1.880414347753804903e-05,6.988004961477030179e-05,0.000000000000000000e+00
2.508958995598140648e-04,4.051944276338305395e-02,1.831540066786642787e-02,6.794633702537382553e-05,3.216354069698718287e-06,4.098471727667633568e-01,4.353247687098211749e-01,7.931461388347603725e-01,2.733743673896562630e-05,-1.027494348266089763e-01,2.930437917053352326e-02,-4.055843140241266465e-03,2.936320976201459588e-03,1.830381309082007612e-04,1.501491290068100812e-03,-1.069217511364885026e-03,1.252313346580537993e-04,1.092681165571801925e-04,3.161459348729702377e-03,-2.779869357443897748e-04,-2.878184728270631078e-04,1.247751087660060269e-03,4.410706117777711869e-04,-9.810277039861417178e-04,8.796404599192593618e-04,7.023467832959096480e-04,7.782778199627346082e-04,1.633977539137783787e-04,-6.151091691197988084e-05,1.000000000000000000e+00
3.265117419073642431e-04,4.687229107459232880e-02,2.154977496588604199e-02,7.643175518180722551e-05,1.032491295927096851e-05,4.178091847278820881e-01,4.475085431736756103e-01,7.802005313841381406e-01,2.235728125246338926e-05,-1.059844598774777463e-01,4.826322999168818767e-02,-1.042318758273977526e-02,8.944711121697243583e-03,-1.466107633137878194e-03,-1.362813413140675795e-03,-4.106794307421117625e-03,-1.676229512215205580e-03,-2.524942687017386195e-03,2.724829682614105008e-04,-2.673196197396799506e-03,-2.710849806786995919e-04,3.288246885510354915e-04,1.197094154640450728e-03,2.025951639143876506e-03,1.536827580791928598e-03,-1.553387489088991041e-05,-7.641691553165329449e-04,7.288410710133319710e-04,-1.796436768121935845e-04,1.000000000000000000e+00
