# x0,tempo, beats, chroma_stft, rmse,spectral_centroid, spectral_bandwidth, rolloff,zero_crossing_rate, mfcc1, mfcc2, mfcc3, mfcc4, mfcc5, mfcc6, mfcc7, mfcc8, mfcc9, mfcc10, mfcc11, mfcc12, mfcc13, mfcc14, mfcc15, mfcc16, mfcc17, mfcc18, mfcc19, mfcc20, y
3.703384988550685857e-04,3.680572671163279130e-02,1.296184745992740028e-02,8.118156471366600065e-05,2.966686606171454101e-06,3.905180908833107978e-01,5.390960447927117816e-01,7.210632140251549416e-01,1.765199523135918506e-05,-1.787541098347844304e-01,5.735276935204200455e-02,-1.862370673802130321e-03,1.101086918604243445e-02,-6.932166054833022477e-04,3.043845680592263420e-03,-1.764894184041955428e-03,3.575423196518279396e-03,-1.233385743280731922e-03,1.681170141453269947e-03,-3.738640145609720567e-03,-2.428535332225883309e-04,-9.072805287314046879e-04,-6.238466843741150535e-05,6.896525693447729498e-04,1.288691611081562967e-03,1.255012711611782749e-03,4.132144004840084418e-04,4.729284665387698656e-04,-2.469839266811480393e-04,1.000000000000000000e+00
5.106844598193342657e-04,5.278402658913900619e-02,2.451285407132804475e-02,1.445920743100984941e-04,4.108576821401787984e-06,4.049216678870232178e-01,6.155128990015588109e-01,6.166860575501116326e-01,1.868175134718470424e-05,-2.546191587906233567e-01,9.065666249685476463e-02,5.722648226106420363e-03,1.411815007433957388e-02,-1.447273310270738361e-03,2.605079576082742869e-03,-3.373293066751268873e-03,-5.415069127076634374e-04,-2.120490926835821681e-03,-1.559347568017357315e-03,-5.059093053368606159e-03,-4.374677421787968694e-03,-4.690710979471082211e-03,-6.092870176876405246e-03,-4.693233171961785737e-03,-5.565110572948385632e-03,-4.521490437452946667e-03,-2.008316822297896015e-03,-1.221109046898194482e-03,-1.175956417495907774e-03,1.000000000000000000e+00
2.513961919009131052e-04,4.060023948790381088e-02,2.011169535207304668e-02,5.610428948622132059e-05,1.063403101948860856e-05,4.288076436974262440e-01,4.138717836594083543e-01,7.983687237711429852e-01,2.837424963516169002e-05,-6.534037824875799094e-02,2.990088430887523352e-02,-8.952683828123177145e-03,8.039055997288171995e-03,-4.155398329940830117e-03,2.670362534430498896e-03,-3.934671459675171887e-03,1.869229722856424920e-03,-1.461187709969112439e-03,2.078526052274736868e-03,-4.528334347020627690e-03,-3.008792257887178993e-04,-1.595678364283047200e-03,6.942184004668195633e-04,-6.517631434746588848e-04,1.102323701457651184e-03,-1.039999636048825372e-03,-1.201541565122792943e-03,-1.199753184254015708e-03,-1.158514724803877318e-03,1.000000000000000000e+00
2.800863691530359675e-04,4.824925343612845863e-02,2.408742774716109147e-02,8.305870802139654694e-05,4.507817465544650229e-05,4.244882816498617983e-01,4.599581625330417256e-01,7.760959635523388966e-01,2.444358028732908947e-05,-3.467858297302579135e-02,4.158888801081192521e-02,-6.032684137751805585e-03,4.884953177947317510e-03,-3.998860555459733787e-04,1.170330955921136760e-03,-1.958638775113449512e-03,-1.423167957281445874e-03,-1.622590171162597043e-03,1.412156599503735848e-03,-1.749464091440166690e-03,-5.525417462242902941e-04,-2.719809254233020168e-04,-6.868159360638833233e-04,-1.210108338348623528e-03,-2.425445543887623826e-04,-1.320594065438274178e-03,-6.245459158731218137e-04,-1.437523761888692122e-03,-9.004955078627630916e-04,1.000000000000000000e+00
1.236013736621208961e-04,1.520876277483128140e-02,7.416082419727253877e-03,5.402829366373700283e-05,2.074536187044384315e-05,3.882594951013882967e-01,3.707775582426253713e-01,8.433899033315680471e-01,1.686466549611056391e-05,-1.135794364283397063e-02,7.004990894679138068e-03,1.706121930683777771e-03,1.861194561412754002e-03,1.110609968375025002e-04,-5.036226363222676746e-04,-2.715418634369188541e-05,6.849146424959584362e-05,-5.705127303899287837e-04,-3.237233985336577255e-04,-3.401902486405392902e-04,-3.811166962397875856e-04,2.228044398443648994e-04,-1.182845654086840865e-04,1.723394636570703430e-04,1.125627478806551484e-04,1.314774032711633856e-04,1.122991015327071314e-04,4.086312358679991888e-04,2.918081410152907414e-05,0.000000000000000000e+00
3.161662285466334903e-04,3.890326640319904244e-02,1.738914257006484235e-02,8.479988862335983155e-05,6.734648414977407770e-06,4.202645581492242544e-01,4.475468572435701287e-01,7.784413377692517289e-01,2.491926848878803249e-05,-1.164885672787198401e-01,3.929195640706992232e-02,-9.984115924555480789e-03,5.569194132633848750e-03,7.347109166800167967e-04,-1.881724995376778597e-03,-3.733464607093719620e-03,-1.754328510117374000e-03,-1.709348387996149389e-03,-4.124465386349746368e-04,-2.666015551939036887e-03,-1.143953727533255065e-03,6.967307069105348888e-04,-1.516202375894754595e-05,7.501194946820490862e-05,7.934541809390661081e-04,9.780636329214350329e-04,1.529228421325853860e-03,1.965785397418766574e-03,2.759134753522463068e-03,1.000000000000000000e+00
3.542318886862890989e-04,3.390109872193001334e-02,1.275234799270640734e-02,8.347756532040320179e-05,1.112958453700465725e-05,4.179612710793015884e-01,4.718638124692031699e-01,7.629075573984406278e-01,2.335760962085652517e-05,-1.284823160124072827e-01,5.099168631115394423e-02,-6.722873476633129536e-03,1.085663991298348521e-02,3.724259368012311651e-04,9.518207133009813008e-05,-2.823865389796677630e-03,-1.370514251492366839e-03,-3.161231815666609799e-03,1.149918992316569400e-03,-1.576015189287326319e-03,1.287234323901469179e-03,1.746992483310213194e-03,1.161845080273810711e-03,2.256858092717797023e-03,2.151069519263900786e-03,1.362611094878001406e-03,-8.931264256412112148e-05,4.108872889034945772e-04,6.350605111251006940e-04,1.000000000000000000e+00
1.156495246113481542e-04,1.195346258287606316e-02,5.898125755178756056e-03,4.229447097610303252e-05,3.514822084454535860e-05,3.522856625691516697e-01,3.823929111196980313e-01,8.540309164432727806e-01,1.230436192338297275e-05,-4.235400546646025596e-03,8.451918383432602613e-03,4.525771173547587373e-03,2.352521878568128617e-03,1.446151714514467028e-03,2.486572703941494007e-04,1.357715412234698641e-03,-2.803784016884208253e-04,7.693821792013052574e-04,3.677310937202017856e-04,-6.234836690308251861e-04,-3.649189659856636294e-04,-6.678351933626634242e-04,-8.883051804984747144e-04,-8.798345046156491990e-04,-7.922241910891411566e-04,-7.068776844066247591e-04,-1.809838339640910205e-04,2.467177252513608958e-04,-1.806684863145491629e-04,0.000000000000000000e+00
1.050095881785875513e-04,1.130596396161062320e-02,5.565508173465140082e-03,4.336280208374365696e-05,2.755595565687337840e-05,3.888492311254476697e-01,3.603725180581516252e-01,8.477521554827596173e-01,1.569645734856872190e-05,-6.216324413616075052e-03,4.751891085497187729e-03,3.868315248648441455e-03,1.646733099275147398e-03,1.642721198964727704e-03,1.766287545110998831e-04,7.673975365656384492e-04,9.275822801351824498e-04,6.141387021124141820e-04,8.420005065521418957e-04,-2.370726992607124399e-04,2.005113302559430679e-04,-9.669749960456968242e-05,3.461224213186130887e-06,9.145572174155345221e-06,-8.746273986957880811e-05,5.861062412979184703e-04,4.022191053013456519e-04,5.857432269554220181e-04,5.168365886909399723e-04,0.000000000000000000e+00
3.124920896052047013e-04,2.182363991489051289e-02,9.999746867366550440e-03,7.395619168963236934e-05,9.114338100742391195e-06,4.216818030020949015e-01,4.758267991972259803e-01,7.636114691081812289e-01,2.477447342764027812e-05,-1.003714737395785817e-01,4.259442476533142896e-02,-8.847081731603659294e-03,9.700304703007542675e-03,1.752282808042281061e-04,6.987265402088262850e-05,2.051822335249750345e-04,-4.120284053083240051e-04,-1.307812261169558108e-05,-1.314908521911658905e-04,-1.935497219906838181e-03,-5.028595443896489786e-05,-1.504488739033883683e-04,-2.338249857988425296e-04,2.336988425488912679e-03,3.431377201969025049e-03,2.450757336859681230e-03,1.352790491425323160e-03,9.337943868249579680e-04,1.829998438886363665e-03,1.000000000000000000e+00
