# x0,tempo, beats, chroma_stft, rmse,spectral_centroid, spectral_bandwidth, rolloff,zero_crossing_rate, mfcc1, mfcc2, mfcc3, mfcc4, mfcc5, mfcc6, mfcc7, mfcc8, mfcc9, mfcc10, mfcc11, mfcc12, mfcc13, mfcc14, mfcc15, mfcc16, mfcc17, mfcc18, mfcc19, mfcc20, y0, y1,y2,y3
1.000000000000000000e+00,2.687535909201865109e-02,1.244969015462654358e-02,7.921554650805868970e-05,3.604083661001150629e-05,3.845271425743626015e-01,4.114813542512216205e-01,8.252118531791226008e-01,1.695647433886966404e-05,-1.639782736592556786e-02,2.115501005337500767e-02,-5.003679328219083448e-03,1.128870609003241980e-02,1.688387151243992375e-05,6.856578681430539057e-03,-2.182059470448077278e-03,4.057551165451496640e-03,-2.215882324433586514e-03,2.931432920465245132e-03,-2.021461000816610672e-03,2.477998587188361655e-03,-1.929169215126215128e-03,5.063374931186289795e-04,-1.245137634561604327e-03,5.922070190060304499e-04,-1.722889999257639108e-03,-6.453707970336262554e-05,-5.889587381728430496e-04,1.408199494888319676e-04,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.804053117498677708e-02,8.308189595083857737e-03,8.485427936822600590e-05,1.952922953578309321e-05,3.825264530210223390e-01,4.926438210979854904e-01,7.792423824174121716e-01,1.400250800309274979e-05,-4.900676917770756952e-02,2.924358068498495236e-02,-8.823143849538689484e-04,7.806950906093190930e-03,2.433877124166569910e-03,3.738886445985750793e-03,1.578312713726377000e-04,5.806012437647830373e-05,-1.095933358244264438e-03,-5.648635675146095004e-04,-1.284509085128410916e-03,-6.030648683877831749e-04,-1.477952584720429452e-03,-1.954890415628956200e-04,-1.148400153171481733e-03,-2.759574516424341539e-03,-2.167657781275335576e-03,-1.972842613259678541e-03,-7.724280990794857435e-04,8.082177726941945888e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,4.767428011026327711e-02,2.213989244122884295e-02,6.535399572910707323e-05,2.350706279459669165e-05,3.661983121036814781e-01,5.894389391566253744e-01,7.122065133623944888e-01,1.264749745273573123e-05,-8.179399473642207097e-02,3.786158595203096416e-02,1.252623247788474392e-02,1.112997631460913017e-02,3.772351334024713881e-03,2.832104815528163882e-03,-1.768800117598725305e-03,-2.225949097357975484e-03,-2.370899726292357949e-03,-1.458345048919467432e-03,-1.927285474173034106e-03,-1.069590435376349159e-03,-2.133630245084976694e-03,-2.201288033080814159e-03,-4.650387865127179931e-04,4.108800448293196419e-04,9.092146584178806409e-04,7.419106086102027382e-04,-3.104798002729567958e-04,-8.127876184380383381e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.011811419918596924e-02,9.716547345834509325e-03,6.699870366134071380e-05,1.225016794279825148e-05,3.690884053454716596e-01,4.465845148771591666e-01,8.130288697889385130e-01,1.368446788245475947e-05,-4.817198307617621966e-02,1.977915853930738849e-02,1.321341868199432017e-03,9.308055582107965104e-03,4.365648067926094079e-04,3.284287639751481275e-03,1.785089312577800569e-03,1.571646132629409302e-03,-1.198872437595925746e-04,9.071609225206580173e-04,2.809415028561266514e-05,6.117688549468582645e-04,-3.365257043769192126e-04,-1.097226460624235343e-03,-5.725520097189558269e-04,-6.181678998879377995e-04,-1.008514522906207823e-04,-2.183445128044343890e-05,-7.805905352565423823e-04,-5.369066041082213182e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,3.141448333695959910e-02,1.529398568359965037e-02,8.905525108759131819e-05,4.055419174212507153e-05,4.023073947200428990e-01,4.091988402767984812e-01,8.175808739823512417e-01,2.014128657755935735e-05,-1.400659988117701482e-02,2.308651617078266716e-02,-7.160500394087039241e-03,1.267641917646478503e-02,1.038578780981425095e-05,6.316129558640960068e-03,-2.625135101242948282e-03,4.373163636493791924e-03,-2.713885704283449784e-03,3.365151044072226590e-03,-1.309339758242882620e-03,2.541246973789917669e-03,-2.578894259838873052e-03,3.474789213202087324e-04,-1.062739468906218152e-03,9.598013098533673916e-04,-1.430032606080210459e-03,2.150909650396013470e-04,-9.789950735751946301e-04,-1.364134788447804198e-04,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.552400100333541783e-02,7.137238665370210060e-03,5.059258438309162663e-05,2.768952155521832033e-05,3.920308214858839180e-01,3.764373631299507417e-01,8.391744859448330152e-01,1.641049462881810872e-05,-2.742268760646268590e-03,8.320689991010715367e-03,3.043148618473857491e-04,4.066916244509112023e-03,9.214123576675344041e-04,8.594984347449962855e-04,8.353069027773503408e-04,1.304176669775814661e-03,4.541156353006371282e-04,1.239562035137391303e-03,-5.305932467999185080e-05,9.941063858801165148e-04,-1.299894287489944563e-04,5.315433287613548262e-04,-8.719285905837021724e-05,-8.104119874189758181e-06,-2.199871826782270304e-05,3.192729781176265139e-05,-7.190124469611594831e-04,2.415239607825469441e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,3.361666642009230460e-02,1.463582755704699069e-02,9.566461674597329990e-05,9.185387643311428111e-06,4.236787345385059633e-01,4.733069626656847828e-01,7.634001491993097632e-01,2.294124748088573570e-05,-9.749917737994284739e-02,5.117233621151000278e-02,-1.214910591152026237e-02,5.129372423767502957e-03,-1.870074006388352736e-03,-1.449847582382124498e-03,-2.216809238330252375e-03,-3.492190443062483021e-03,-3.214483073330426117e-03,-2.651784603585274121e-03,-1.762047402275727578e-03,-2.549121931816617035e-03,-8.885805563306419614e-04,-3.604433482346160612e-04,5.367589975512128842e-04,1.184584446677361359e-03,1.003161936541891591e-03,3.551788542381544901e-05,-2.586221500006045124e-04,-8.905103521551987296e-04,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,3.274098248869201921e-02,1.550898022212654666e-02,1.002830472325291284e-04,3.057692244308835109e-05,3.860676762768292525e-01,5.172440145539589640e-01,7.591878667859749408e-01,1.667424227710161293e-05,-5.909822298345766833e-02,4.618487718403416903e-02,-9.242976945799772238e-04,8.962678188340841151e-03,2.767775776425718953e-03,1.822420745287117337e-03,1.152490128303899995e-03,1.140312208858112976e-03,-1.785130758471527995e-03,4.886597852763520941e-04,-1.145847521756157127e-03,2.840781522499440971e-04,5.987782210446287870e-04,-6.815789349786275731e-04,1.020662253410019402e-03,1.143138349895889746e-03,-3.458029379833786111e-04,6.776320319365033073e-04,1.027456290495162372e-03,-1.260040876146134841e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,3.306748321404507501e-02,1.520294411930627441e-02,1.058853516856575044e-04,3.920818976211475521e-05,3.994471626017013777e-01,5.174764906479590865e-01,7.498000630730210503e-01,2.025218813827904632e-05,-8.080391470141728982e-02,4.704973945292268561e-02,1.136589290758693947e-03,1.690677700706020789e-02,3.005727791973892421e-03,4.821666165503508093e-03,1.851804540817936521e-03,1.317590847919289680e-04,-4.661176030087797219e-03,5.829558048964794334e-03,1.777796960965805735e-03,-7.776229089969832102e-04,1.367987789101333300e-03,1.839056865721881272e-03,2.805732366694710747e-04,-3.825619103871989073e-04,-1.574387556380659001e-03,-8.418595074903822148e-04,1.146064479227434018e-03,-2.102445874383203198e-04,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.904448718518891859e-02,8.976906213513810573e-03,6.541817341195081746e-05,2.801745395271122951e-05,3.988512245587504945e-01,3.694969665326828800e-01,8.387746023699292897e-01,2.139691279924471842e-05,-9.848117668991200960e-03,1.462218822758082522e-02,-2.079547552680777178e-03,5.073910101455214074e-03,-2.124122624258596194e-03,4.146456199470675841e-03,-3.003454994295785916e-03,3.817106464946201129e-03,-1.807263180115321671e-03,2.126107737899422031e-03,-1.462864532263545439e-03,1.368688145711207272e-03,-7.718426701338570572e-04,1.427643033110542661e-03,-5.381672826503177418e-04,2.312241190019441570e-04,-1.376210953120247547e-03,4.001370645823584848e-05,-8.450777764051219023e-04,-1.746322654128491466e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
