# x0,tempo, beats, chroma_stft, rmse,spectral_centroid, spectral_bandwidth, rolloff,zero_crossing_rate, mfcc1, mfcc2, mfcc3, mfcc4, mfcc5, mfcc6, mfcc7, mfcc8, mfcc9, mfcc10, mfcc11, mfcc12, mfcc13, mfcc14, mfcc15, mfcc16, mfcc17, mfcc18, mfcc19, mfcc20, y0, y1,y2,y3,y4,y5,y6,y7,y8,y9
1.000000000000000000e+00,5.148179091920823680e-02,2.201537266096089199e-02,9.039976030355318813e-05,5.597163146092970651e-06,4.111361721494057875e-01,5.214449331449079184e-01,7.327828929495308063e-01,2.051120404407330485e-05,-1.269240735131763054e-01,5.211060991693278882e-02,-7.307321413386029703e-03,7.060669727969140150e-03,2.373004288548133910e-03,-1.337566904378188325e-03,-8.542997291579323711e-04,-9.513366898357999198e-04,-1.451041959030988007e-03,-1.526463966592219064e-03,-1.953347094921143671e-03,-1.443716321112674264e-03,-1.301634499167990877e-03,-1.550576833266778835e-03,-1.231085284518867486e-03,-7.764600333502191549e-04,-1.062188992979806170e-03,-7.524122909691324064e-05,8.911472879467233340e-04,6.161454181739164102e-04,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.426888805599485346e-02,4.902645576264103890e-03,8.721935229879867416e-05,1.061045242761554880e-05,4.016910157887447208e-01,4.938915508533673893e-01,7.653414716627785497e-01,2.016785990335611000e-05,-8.318060073973405910e-02,3.702198417821632448e-02,-3.201938699728722540e-03,4.963354474920203541e-03,2.829436672396769617e-03,8.216634738948921154e-04,-1.524053264698167721e-03,3.952524803482707788e-05,-3.673979965218052255e-04,-5.087598805357558670e-04,-8.735250782286124943e-04,-1.835867501016502082e-03,-7.334548223994382917e-04,-1.524049262826830155e-03,-1.231632810900748975e-03,-1.302749046294517446e-03,-1.462706768453723646e-03,-7.141931672208250885e-04,-1.589767321914501742e-03,-1.887201145905728497e-03,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.395634064008052615e-02,6.600135986572443561e-03,6.656596319818489104e-05,2.927870487617018506e-05,3.897034892211114210e-01,3.809138997402995441e-01,8.381817757653707845e-01,1.555811232668501438e-05,-9.655249125143851308e-03,8.759988739227002330e-03,3.410077325449356340e-03,7.552770277899509277e-03,-2.702406021459487044e-04,1.800465180164679407e-03,-6.121618919030486590e-04,1.734900102189238348e-03,-3.066438829324780505e-05,1.271890182072840658e-03,-1.370048889321156117e-04,5.534409051953221139e-04,2.691067200781919197e-04,3.168575897353385039e-04,-3.538691212959707544e-04,-4.954096385724908241e-04,-4.101868745984144082e-04,-5.121444058313421319e-04,-4.804688667861945861e-04,-5.228480310101210312e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.791158640076727371e-02,8.692440079697527286e-03,7.359130149394700301e-05,3.239349062808186261e-05,4.263269337387766700e-01,3.540594322904097591e-01,8.319567967411026777e-01,2.496898717383203378e-05,5.970747780617340696e-05,1.215588111519611686e-02,-4.673679741241780657e-03,9.316157686966851717e-03,-2.663985685502827036e-03,4.072574829713897226e-03,-3.243453453667289807e-03,3.409878833981754617e-03,-1.987267122364039500e-03,2.726588763887062821e-03,-2.040963551072224550e-03,2.938529576949447907e-03,-1.674961132779363877e-03,1.633554083544197337e-03,-1.440076189404340505e-03,1.168702735665658361e-03,-1.326385156232053140e-03,4.844253327235687736e-04,-1.042094898016706923e-03,5.925814467575109875e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.735893284392655611e-02,1.293839709664585530e-02,1.037218495710501932e-04,5.609883216393132089e-05,4.245462228341160826e-01,4.382330538074654114e-01,7.901229453568706651e-01,2.120243828882170713e-05,-1.716357659241563721e-02,4.233079410557306910e-02,-1.517174196834025074e-02,7.712520280051809486e-03,-1.884074147007560977e-03,4.811118474319205085e-03,-6.222362457735449749e-03,4.994117269537469775e-03,-3.464151871865050591e-03,1.237058205694839931e-03,-2.307734354146563725e-03,1.983294912014310456e-03,-6.950724218998640324e-04,1.330747538913708760e-03,-1.726647401712690664e-03,-1.998103825732542714e-04,-6.268800679722099072e-04,-1.443419871908444138e-03,-1.436687127701130997e-03,-1.728709864173987509e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.976995952121690658e-02,9.670812670768634198e-03,4.342388935803285723e-05,2.866971525584436912e-05,3.658790540927273072e-01,3.847582992310727978e-01,8.470458539178641333e-01,1.365792665598424376e-05,-4.957497864541618796e-03,8.994630894783816472e-03,2.769456060377244438e-03,1.512107977984748905e-03,1.818997220115265356e-03,1.094824090135686342e-03,6.494636134396559232e-04,1.104953606950459175e-03,2.555185381518838839e-04,5.264655756373523956e-04,-3.838428466217632708e-04,2.256242457964965258e-04,2.487799284397944712e-04,1.705352690416142428e-04,5.045131522920281086e-04,-4.364045931886214913e-05,-9.213128421010567508e-05,1.416569939192731788e-04,9.033604685398260482e-05,-5.490177545600253008e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.011811419918596924e-02,9.716547345834509325e-03,6.699870366134071380e-05,1.225016794279825148e-05,3.690884053454716596e-01,4.465845148771591666e-01,8.130288697889385130e-01,1.368446788245475947e-05,-4.817198307617621966e-02,1.977915853930738849e-02,1.321341868199432017e-03,9.308055582107965104e-03,4.365648067926094079e-04,3.284287639751481275e-03,1.785089312577800569e-03,1.571646132629409302e-03,-1.198872437595925746e-04,9.071609225206580173e-04,2.809415028561266514e-05,6.117688549468582645e-04,-3.365257043769192126e-04,-1.097226460624235343e-03,-5.725520097189558269e-04,-6.181678998879377995e-04,-1.008514522906207823e-04,-2.183445128044343890e-05,-7.805905352565423823e-04,-5.369066041082213182e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.197167605554352691e-02,5.837617276607890912e-03,4.924491634776714100e-05,2.899316452169853963e-05,3.895214909583597507e-01,3.856455106086427720e-01,8.362119976098050245e-01,1.864765972451750092e-05,-4.806470691414550800e-03,8.929736626087172308e-03,1.364123387398842461e-03,3.108986179148652725e-03,1.994265492170308688e-03,4.600013635804922401e-04,1.514263968957859979e-03,3.780341548619074428e-04,3.315933046147980477e-04,6.175111719334812907e-04,-2.052856552321111194e-04,3.335983160394623954e-04,-1.317368349979836800e-04,-2.155346222785044685e-04,6.375483876280110308e-05,-3.670783571135826403e-04,-4.435890480885277187e-04,-5.327012150881623494e-04,-5.469432357728574393e-04,1.423599343226690614e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.107786114277501191e-02,5.453221586763586787e-03,3.865807849093879349e-05,1.235331991307438440e-05,3.993667070720868795e-01,3.459034427248495192e-01,8.488942700799070318e-01,1.947893997491929706e-05,-7.738667584481628316e-03,4.613755164418417883e-03,1.037129751771401123e-03,1.186960348006291786e-04,1.194494698738138359e-04,-3.226832652972619017e-04,1.432502236333392832e-05,7.776143244015317456e-06,-3.538624644239269767e-04,1.101434029110792246e-05,-1.986251863970676652e-04,-2.386912922507386601e-04,-8.388097484259608797e-06,-3.586099235975355503e-04,-3.856658263392498897e-05,-2.808099826808719787e-04,2.584477661364561162e-04,-1.018578104725116645e-04,3.733845761033815678e-04,-2.677622210103241390e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.217874030487677200e-02,1.060019733150391504e-02,7.351829440704419076e-05,2.767374992608502760e-05,4.065157508387403085e-01,3.714613705497922802e-01,8.340728425046746164e-01,2.260708454568113063e-05,-9.390642053757917648e-03,1.577016071422981947e-02,-3.984109954888461272e-03,6.527181738665735304e-03,-2.816875508869966065e-03,4.540177749455960240e-03,-2.170351934236807757e-03,3.784032763091825513e-03,-2.696529243881472769e-03,3.169387882315514559e-03,-2.525718297668138115e-03,1.930341787679743827e-03,-1.724395599068376597e-03,1.364360567456777756e-03,-1.528796559135513515e-03,1.068039707081181160e-03,-6.032496422929955202e-04,5.653477870572550966e-05,-7.195084842119027751e-04,2.536070038524987098e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
